combo_idx,params,train_accuracy,cv_accuracy,cv_precision,cv_recall,cv_f1
0,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2}",0.9907346992039671,0.9147240583767531,0.9451929778729085,0.9131324546547873,0.9146366014477136
1,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 5}",0.9907346992039671,0.917444936965895,0.9506327125283432,0.915725842476008,0.9170705756410893
2,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10}",0.9902127104267259,0.9143184626418159,0.9453694333541982,0.912676376310041,0.914162802796513
3,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}",0.999608508417069,0.9221330499174811,0.9541737014220046,0.9204740740740741,0.9218589759475195
4,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}",0.9993475140284483,0.9192759070603381,0.952245176848695,0.9175506172839507,0.918888869721058
5,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10}",0.998825525251207,0.9191396427923374,0.9531970554090796,0.9173777777777777,0.9185973647519242
6,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 2}",1.0,0.9229474384564206,0.954725941778958,0.9212938271604939,0.9226966001132052
7,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 5}",0.9997390056113794,0.9188862966707279,0.9514946813277492,0.9171604938271605,0.9186030316605684
8,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 10}",0.9994780112227587,0.9187500324027271,0.9524596924676836,0.9169975308641976,0.9182978002037195
9,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2}",0.9911261907868981,0.9136819002687266,0.9433500915038728,0.9121448003337997,0.9136969195639779
10,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 5}",0.9911261907868981,0.9171851967061547,0.9505636349848746,0.9154492992661316,0.9167742701572863
11,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 10}",0.9906042020096568,0.9151040775591675,0.9464048629575483,0.9134550327663649,0.9148994008191307
12,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2}",0.9994780112227587,0.9225194632380262,0.9545392228863447,0.9208740740740741,0.9222401620652236
13,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5}",0.9992170168341381,0.9200487337014284,0.9528966827151615,0.9183407407407408,0.9196850674399512
14,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10}",0.9992170168341381,0.9197825993035573,0.9533005554354357,0.9180543209876543,0.9193371571625576
15,"{'n_estimators': 200, 'max_depth': 15, 'min_samples_split': 2}",1.0,0.9230709144481599,0.9547884916346628,0.9214172839506173,0.9228272875748654
16,"{'n_estimators': 200, 'max_depth': 15, 'min_samples_split': 5}",0.999608508417069,0.9200487337014284,0.9525282676248132,0.9183604938271606,0.9197399082988854
17,"{'n_estimators': 200, 'max_depth': 15, 'min_samples_split': 10}",0.9994780112227587,0.9193993830520777,0.9529739889248316,0.9176641975308641,0.9189452285675819
